year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2007,06,38 AMBER,AMBER ROAD,Ho Brothers Investment Pte Ltd,Non-Landed,RCR,30,0,0,0,0,0,-,-,-
2007,06,3@PHILLIPS,PHILLIPS AVENUE,Sovereign Development Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,06,3BHC,BRIGHT HILL CRESCENT,Manston Land Pte Ltd,Strata-Landed,RCR,11,11,11,0,0,0,-,-,-
2007,06,8 @ MOUNT SOPHIA,MOUNT SOPHIA,FCL Sophia Pte Ltd,Non-Landed,CCR,313,313,313,0,0,0,-,-,-
2007,06,8 @ STRATTON,STRATTON GREEN,Fairview Developments Pte Ltd,Strata-Landed,OCR,8,0,0,0,0,0,-,-,-
2007,06,8 NAPIER,NAPIER ROAD,Napier Properties Pte Ltd,Non-Landed,CCR,46,0,0,0,0,0,-,-,-
2007,06,AQUENE,JOO CHIAT PLACE/LORONG BANDANG,Deneside Pte Ltd,Non-Landed,OCR,22,0,0,0,0,0,-,-,-
2007,06,ARDMORE II,ARDMORE PARK/ANDERSON ROAD,Actbilt Pte Ltd,Non-Landed,CCR,118,118,118,0,0,1,"32,432","32,432","32,432"
2007,06,ASTOR,LENGKONG EMPAT,Astor Properties Pte Ltd,Non-Landed,OCR,55,55,48,7,0,3,"6,889","5,156","8,127"
2007,06,ATRIUM RESIDENCES,LORONG 28/LORONG 30 GEYLANG/GEYLANG ROAD,Novelty Singapore Pte Ltd,Non-Landed,RCR,142,142,142,0,0,0,-,-,-
2007,06,AXIS @ SIGLAP,EAST COAST TERRACE,Roxy Homes Pte Ltd,Non-Landed,OCR,40,40,40,0,0,0,-,-,-
2007,06,BALMORAL HILLS,BALMORAL PARK,Artesian Investments Pte Ltd,Non-Landed,CCR,62,62,62,0,0,0,-,-,-
2007,06,BALMORAL PLACE,BALMORAL CRESCENT,HH Investment Pte Ltd,Non-Landed,CCR,28,28,1,27,0,0,-,-,-
2007,06,BANYAN VILLAS,LENTOR ROAD,Tai Lai Holdings Pte Ltd,Landed,OCR,64,64,48,16,0,0,-,-,-
2007,06,BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD,349UP Pte Ltd,Non-Landed,OCR,29,0,0,0,0,0,-,-,-
2007,06,BEAUFORT ON NASSIM,NASSIM ROAD,Powerford Pte Ltd,Non-Landed,CCR,30,30,29,1,0,2,"29,084","21,528","36,630"
2007,06,BELLE VUE RESIDENCES,OXLEY WALK,Winquest Investment Pte Ltd,Non-Landed,CCR,176,0,0,0,0,0,-,-,-
2007,06,BELLEZZA @ KATONG,CEYLON ROAD,Everspring Realty Pte Ltd,Non-Landed,RCR,24,24,24,0,0,1,"9,451","9,451","9,451"
2007,06,BLEU @ EAST COAST,UPPER EAST COAST ROAD,Sim Lian (East Coast) Pte Ltd,Non-Landed,OCR,62,62,62,0,0,0,-,-,-
2007,06,BLISS RESIDENCES,JALAN MASJID,One Two Holdings Pte Ltd,Non-Landed,OCR,23,0,0,0,0,0,-,-,-
2007,06,BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,Woodleigh Gardens Pte Ltd,Non-Landed,RCR,240,240,238,2,0,2,"5,317","5,285","5,350"
2007,06,BLUWATERS 2,JALAN LOYANG BESAR,Novelty Capital Pte Ltd,Non-Landed,OCR,71,71,13,58,69,11,"8,084","7,976","8,837"
2007,06,BOTANIKA,HOLLAND ROAD,Premiera Development Pte Ltd,Non-Landed,CCR,34,34,34,0,0,0,-,-,-
2007,06,BOTANNIA,WEST COAST PARK,City Developments Ltd/Leonie Court Pte Ltd,Non-Landed,OCR,493,350,255,95,150,104,"8,019","7,223","9,311"
2007,06,BOULEVARD VUE,ANGULLIA PARK,High Oak Properties Pte Ltd,Non-Landed,CCR,28,0,0,0,0,0,-,-,-
2007,06,BUCKLEY 18,BUCKLEY ROAD,Hong Realty Pte Ltd,Non-Landed,CCR,49,49,49,0,0,0,-,-,-
2007,06,BUCKLEY RESIDENCE,BUCKLEY ROAD,Buckley Development Pte Ltd,Non-Landed,CCR,13,13,7,6,0,1,"11,216","11,216","11,216"
2007,06,BUKIT VILLAS,WOODLANDS ROAD,Wan Fu Investments Pte Ltd,Landed,OCR,121,24,2,22,0,0,-,-,-
2007,06,CABANA,SUNRISE TERRACE,Bullion Holdings Pte Ltd,Strata-Landed,OCR,119,0,0,0,0,0,-,-,-
2007,06,CADENCE LIGHT,TELOK KURAU ROAD,Primelot Properties Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,06,CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,Cairnhill Green Pte Ltd,Non-Landed,CCR,97,97,97,0,0,0,-,-,-
2007,06,CAIRNHILL VIEW,CAIRNHILL RISE,Far East Organization Centre Pte Ltd,Non-Landed,CCR,55,0,0,0,0,0,-,-,-
2007,06,CALLIDORA VILLE,LORONG N TELOK KURAU,Primelot Properties Pte Ltd,Non-Landed,OCR,34,0,0,0,0,0,-,-,-
2007,06,CARABELLE,WEST COAST WAY,Sim Lian (West Coast) Pte Ltd,Non-Landed,OCR,338,338,336,2,0,2,"7,739","7,696","7,782"
2007,06,CARLYX GREEN,CARLISLE ROAD,World Class Land Pte Ltd,Non-Landed,RCR,12,12,12,0,0,0,-,-,-
2007,06,CASA MERAH,TANAH MERAH KECHIL AVENUE,Choice Homes Beta Pte Ltd,Non-Landed,OCR,556,556,556,0,0,9,"7,696","6,566","7,955"
2007,06,CASERO @ DUNMAN,DUNMAN ROAD,Scan-Bilt Development Pte Ltd,Non-Landed,RCR,15,15,15,0,15,15,"10,226","7,685","10,689"
2007,06,CASHEW HILL,CASHEW ROAD,Lucky Realty Co Pte Ltd,Landed,OCR,31,15,10,5,0,0,-,-,-
2007,06,CENTURION 12,BRIGHT HILL CRESCENT,Royal Oak Development Pte Ltd,Strata-Landed,RCR,8,8,8,0,0,0,-,-,-
2007,06,CENTURION RESIDENCES,PUAY HEE AVENUE,Yi Kai Development Pte Ltd,Strata-Landed,RCR,15,15,15,0,0,2,"5,533","5,253","5,813"
2007,06,CHELSEA GROVE,BALESTIER ROAD/MARTABAN ROAD,Myriad Forte Construction Pte Ltd,Non-Landed,RCR,23,23,23,0,0,0,-,-,-
2007,06,CHESTNUT RESIDENCES,JALAN PAKIS,Success Century Development Pte Ltd,Strata-Landed,OCR,10,0,0,0,0,0,-,-,-
2007,06,CITY EDGE,MOULMEIN RISE,Leng Hoe Development Pte Ltd,Non-Landed,CCR,49,49,49,0,0,0,-,-,-
2007,06,CITY REGENCY,ST. MICHAEL'S ROAD,Fragrance Homes Pte Ltd,Non-Landed,RCR,56,56,47,9,0,0,-,-,-
2007,06,CITY SQUARE RESIDENCES,KITCHENER LINK,City Developments Ltd,Non-Landed,RCR,910,910,910,0,0,0,-,-,-
2007,06,CITYLIGHTS,JELLICOE ROAD,Woodsvale Land Pte Ltd,Non-Landed,RCR,600,600,600,0,0,0,-,-,-
2007,06,CITYVISTA RESIDENCES,PECK HAY ROAD,PH Properties Pte Ltd,Non-Landed,CCR,70,21,21,0,21,21,"28,503","25,801","30,441"
2007,06,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,FCL Loft Pte Ltd,Non-Landed,OCR,240,240,240,0,0,0,-,-,-
2007,06,CLIVEDEN AT GRANGE,GRANGE ROAD/JALAN ARNAP,City Developments Ltd,Non-Landed,CCR,110,44,17,27,44,17,"37,362","35,726","43,174"
2007,06,CLYDES RESIDENCE,MERGUI ROAD,Clydesbuilt Development Pte Ltd,Non-Landed,RCR,48,48,35,13,0,0,-,-,-
2007,06,COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,Sustained Land Pte Ltd,Non-Landed,OCR,40,0,0,0,0,0,-,-,-
2007,06,CRYSTAL DE AZURE,HOW SUN CLOSE,Ho Liew Leng Edwin & Ho Soo Tong,Non-Landed,OCR,12,12,12,0,0,0,-,-,-
2007,06,CUSCADEN ROYALE,ANGULLIA PARK,Leong Hoe Development Pte Ltd,Non-Landed,CCR,46,46,41,5,0,1,"28,654","28,654","28,654"
2007,06,D' PALMA,LORONG MYDIN,Rosadale Pte Ltd,Non-Landed,OCR,18,18,17,1,0,1,"5,339","5,339","5,339"
